ligand,receptor
CCL25,ACKR4
CCL25,CCR9
CXCL12,CXCR4
CXCL14,CXCR4
IL7,IL2RG
IL7,IL7R
LTB,LTBR
CNTN1,NOTCH1
CNTN1,NOTCH2
DLK1,NOTCH1
DLK1,NOTCH2
DLK1,NOTCH3
DLK1,NOTCH4
DLL1,NOTCH1
DLL1,NOTCH2
DLL1,NOTCH3
DLL1,NOTCH4
DLL3,NOTCH1
DLL3,NOTCH2
DLL3,NOTCH3
DLL3,NOTCH4
DLL4,NOTCH1
DLL4,NOTCH2
DLL4,NOTCH3
DLL4,NOTCH4
JAG1,NOTCH1
JAG1,NOTCH2
JAG1,NOTCH3
JAG1,NOTCH4
JAG2,NOTCH1
JAG2,NOTCH2
JAG2,NOTCH3
JAG2,NOTCH4
LTA,TNFRSF14
LTA,TNFRSF1A
LTA,TNFRSF1B
CRLF2,IL7R
TSLP,IL7R
DLK2,NOTCH2
