ligand,receptor
TNFSF13B,TNFRSF13C
TNFSF13B,TNFRSF17
TNFSF14,LTBR
TNFSF14,TNFRSF14
TNFSF14,TNFRSF6B
TNFSF15,TNFRSF25
TNFSF15,TNFRSF6B
TNFSF18,TNFRSF18
TNFSF4,TNFRSF4
TNFSF8,TNFRSF8
TNFSF9,TNFRSF9
B2M+CD1B,IL6ST
CD248,IL6R
CD40LG,CD40
CD40LG,ITGA2B
CD40LG,ITGB3
CD40LG,ITGA5
CD40LG,ITGB1
CD93,IFNGR1
CLCF1,IL6ST
CNTF,IL6ST
CRLF2,IL7R
ICOSLG,ICOS
LIF,IL6ST
PF4,CXCR3
PI16,TNFRSF21
PTPRD,IL1RAP
PTPRD,IL1RAPL1
TSLP,IL7R
